Article title;Author(s);Journal;Issue;Citations (WoS);CrossRef;Scopus;IUCr;Altmetric;Views;Category;Topic;Access;Keywords;Review scores
SHELXT - Integrated space-group and crystal-structure determination;G. M. Sheldrick;A;January 2015;1403;8178;15004;1105;49;23212;fa;;Open;"Patterson superposition; direct methods; dual-space recycling; space-group determination; element assignment";
The anatomy of a comprehensive constrained, restrained refinement program for the modern computing environment - Olex2 dissected;L. J. Bourhis, O. V. Dolomanov, R. J. Gildea, J. A. K. Howard and H. Puschmann;A;January 2015;537;468;553;58;1;7058;fa;;Open;"small molecules; refinement; constraints; restraints; least squares; Olex2";
The Scherrer equation and the dynamical theory of X-ray diffraction;F. T. L. Muniz, M. A. R. Miranda, C. Morilla dos Santos and J. M. Sasaki;A;May 2016;144;134;146;1;1;3074;fa;;;"Scherrer equation; powder diffraction; X-ray diffraction; dynamical theory";2.5 (3,2)
Complex modeling: a strategy and software program for combining multiple information sources to solve ill posed structure and nanostructure inverse problems;P. Juhás, C. Farrow, X. Yang, K. Knox and S. Billinge;A;November 2015;107;110;108;11;51;2059;fa;;;"complex modeling; nanostructure analysis; Python software framework";4.5 (5,4)
Ab initio structure determination of nanocrystals of organic pharmaceutical compounds by electron diffraction at room temperature using a Timepix quantum area direct electron detector;E. van Genderen, M. T. B. Clabbers, P. P. Das, A. Stewart, I. Nederlof, K. C. Barentsen, Q. Portillo, N. S. Pannu, S. Nicolopoulos, T. Gruene and J. P. Abrahams;A;March 2016;75;76;71;10;60;5777;fa;;Open;"electron nanocrystallography; Timepix quantum area detector; carbamazepine; nicotinic acid; electron diffraction structure determination";4.5 (5,4)
Structure refinement using precession electron diffraction tomography and dynamical diffraction: theory and implementation;L. Palatinus, V. Petříček and C. A. Corrêa;A;March 2015;71;63;64;6;2;1966;fa;;;"dynamical diffraction; electron diffraction tomography; electron crystallography";4.5 (5,4)
MicroED data collection and processing;J. Hattne, F. E. Reyes, B. L. Nannenga, D. Shi, M. J. de la Cruz, A. G. W. Leslie and T. Gonen;A;July 2015;58;78;58;7;0;6355;fe;;Open;"MicroED; electron diffraction; crystallography; cryo-EM; nanocrystals";3.0 (4,2)
Analysis of rapidly synthesized guest-filled porous complexes with synchrotron radiation: practical guidelines for the crystalline sponge method;T. R. Ramadhar, S.-L. Zheng, Y.-S. Chen and J. Clardy;A;January 2015;51;53;49;3;21;10228;fa;;Open;"X-ray crystallography; crystalline sponge method; metal-organic framework; single-crystal-to-single-crystal transformation; synchrotron radiation";
Quasicrystals: What do we know? What do we want to know? What can we know?;W. Steurer;A;January 2018;37;38;33;3;28;7212;tr;;Open;"quasicrystals; structure analysis; higher-dimensional crystallography; stability of quasicrystals; quasicrystal growth";3.5 (4,3)
The limit of application of the Scherrer equation;M. A. R. Miranda and J. M. Sasaki;A;January 2018;30;32;29;0;2;2844;fa;;;"X-ray diffraction; Scherrer equation; dynamical theory; kinematical theory; Scherrer limit; crystallite size";2.0 (3,1)
Magnetic structure determination from the magnetic pair distribution function (mPDF): ground state of MnO;B. A. Frandsen and S. J. L. Billinge;A;May 2015;26;25;25;1;1;572;fa;;;"pair distribution function; magnetic pair distribution function; neutron scattering; magnetic structure; local structure";4.0 (4,4)
High-symmetry embeddings of interpenetrating periodic nets. Essential rings and patterns of catenation;C. Bonneau and M. O'Keeffe;A;January 2015;23;25;23;3;1;887;fa;;;"periodic nets; interpenetrating nets; catenation; polycatenation";
Towards atomistic understanding of polymorphism in the solvothermal synthesis of ZrO2 nanoparticles;A.-C. Dippel, K. M.Ø. Jensen, C. Tyrsted, M. Bremholm, E. D. Bøjesen, D. Saha, S. Birgisson, M. Christensen, S. J. L. Billinge and B. B. Iversen;A;November 2016;20;19;21;2;1;725;fa;100 years of the Debye scattering equation;;"nanoparticles; pair distribution function; polymorphism; solvothermal synthesis; zirconia";
A theoretical investigation of orientation relationships and transformation strains in steels;K. Koumatos and A. Muehlemann;A;March 2017;19;18;21;1;1;541;fa;;;"orientation relationships; Nishiyama-Wassermann; Kurdjumov-Sachs; Pitsch; Greninger-Troiano; Bain; inverse Greninger-Troiano; steel; ratio of tetragonality; transformation strains; f.c.c. to b.c.c. transformations; f.c.c. to b.c.t. transformations";4.0 (4)
More statistics on intermetallic compounds - ternary phases;J. Dshemuchadse and W. Steurer;A;May 2015;18;17;18;0;1;466;fa;;;"intermetallics; ternary compounds; structure types; compositions; crystal-structure statistics";3.0 (4,3,2)
A total scattering Debye function analysis study of faulted Pt nanocrystals embedded in a porous matrix;F. Bertolotti, D. Moscheni, A. Migliori, S. Zacchini, A. Cervellino, A. Guagliardi and N. Masciocchi;A;November 2016;17;16;17;3;1;474;fa;100 years of the Debye scattering equation;;"Debye scattering equation; stacking faults; platinum nanocrystals";
Three-dimensional single-cell imaging with X-ray waveguides in the holographic regime;M. Krenkel, M. Toepperwien, F. Alves and T. Salditt;A;July 2017;17;19;17;1;2;5843;fa;;Open;"X-ray holography; phase retrieval; X-ray tomography; X-ray waveguides; coherent imaging";3.5 (4,3)
Synchrotron powder diffraction of silicon: high-quality structure factors and electron density;N. Wahlberg, N. Bindzus, L. Bjerg, J. Becker, A.-C. Dippel and B. B. Iversen;A;January 2016;17;13;14;4;1;776;fa;;;"synchrotron powder X-ray diffraction; charge density; core polarization; structure factors; silicon";4.0 (4,4)
Direct phasing of protein crystals with high solvent content;H. He and W.-P. Su;A;January 2015;17;19;20;7;2;1162;fa;;;"ab initio phasing; protein crystallography; hybrid input-output algorithm; solvent flattening";
AFLOW-SYM: platform for the complete, automatic and self-consistent symmetry analysis of crystals;D. Hicks, C. Oses, E. Gossett, G. Gomez, R. H. Taylor, C. Toher, M. J. Mehl, O. Levy and S. Curtarolo;A;May 2018;16;21;15;1;1;1030;fa;;;"crystal structure analysis; automation; materials genomics; AFLOW-SYM";3.5 (4,3)
A first-prototype multi-determinant X-ray constrained wavefunction approach: the X-ray constrained extremely localized molecular orbital-valence bond method;A. Genoni;A;July 2017;16;15;15;1;1;352;sc;;;"X-ray constrained wavefunction approach; extremely localized molecular orbitals; resonance structures; valence-bond method";4.5 (5,4)
An algebraic approach to cooperative rotations in networks of interconnected rigid units;B. Campbell, C. J. Howard, T. B. Averett, T. A. Whittle, S. Schmid, S. Machlus, C. Yost and H. T. Stokes;A;September 2018;16;14;14;3;4;1182;fa;;;"rigid-unit modes; cooperative rotations; group theory; symmetry modes; perovskites; quartz; tungsten bronzes";4.5 (5,4)
Reducing dynamical electron scattering reveals hydrogen atoms;M. T. B. Clabbers, T. Gruene, E. van Genderen and J. P. Abrahams;A;January 2019;16;21;16;0;4;2973;fa;;Open;"dynamical scattering; electron diffraction; hydrogen atoms; nanocrystals; hybrid pixel detector";3.5 (4,3)
Dynamic quantum crystallography: lattice-dynamical models refined against diffraction data. I. Theory;A. A. Hoser and A.Ø. Madsen;A;March 2016;15;11;14;3;0;732;fa;;;"lattice dynamics; thermal motion; ab initio calculations; refinement; Debye-Waller factors";2.0 (3,1)
Towards solution and refinement of organic crystal structures by fitting to the atomic pair distribution function;D. Prill, P. Juhás, S. J. L. Billinge and M. U. Schmidt;A;January 2016;15;12;12;3;3;965;fa;;;"pair distribution function; organic crystal structures; structure refinement; structure solution";2.0 (3,1)
Precise implications for real-space pair distribution function modeling of effects intrinsic to modern time-of-flight neutron diffractometers;D. Olds, C. N. Saunders, M. Peters, T. Proffen, J. Neuefeind and K. Page;A;July 2018;15;16;14;2;7;3898;fe;;;"total scattering; pair distribution function; instrument resolution function; time-of-flight peak shapes";2.0 (2)
Anion order in perovskites: a group-theoretical analysis;M. V. Talanov, V. B. Shirokov and V. M. Talanov;A;March 2016;15;11;13;3;0;785;fa;;;"group-theoretical analysis; anion order; perovskites; aristotypes; superstructures; oxygen vacancy ordering";3.0 (4,2)
